,G,QB_FantasyPoints,QB_FantasyPoints/GM,QB_Rank,G,RB_FantasyPoints,RB_FantasyPoints/GM,RB_Rank,G,WR_FantasyPoints,WR_FantasyPoints/GM,WR_Rank,G,TE_FantasyPoints,TE_FantasyPoints/GM,TE_Rank
Arizona Cardinals,16,363,23,32,16,318,20,21,16,382,24,23,16,209,13,32
New York Giants,16,331,21,30,16,308,19,17,16,420,26,28,16,130,8,21
Miami Dolphins,16,341,21,30,16,355,22,27,16,440,28,31,16,118,7,13
Houston Texans,16,326,20,26,16,344,22,27,16,376,24,23,16,131,8,21
Detroit Lions,16,326,20,26,16,364,23,30,16,420,26,28,16,117,7,13
Oakland Raiders,16,324,20,26,16,304,19,17,16,380,24,23,16,140,9,28
Cincinnati Bengals,16,324,20,26,16,338,21,24,16,355,22,16,16,114,7,13
Atlanta Falcons,16,320,20,26,16,270,17,12,16,359,22,16,16,122,8,21
Washington Redskins,16,312,20,26,16,370,23,30,16,375,23,20,16,142,9,28
Tampa Bay Buccaneers,16,307,19,23,16,181,11,2,16,462,29,32,16,137,9,28
Indianapolis Colts,16,292,18,20,16,234,15,6,16,394,25,26,16,120,8,21
Cleveland Browns,16,288,18,20,16,343,21,24,16,292,18,6,16,148,9,28
New Orleans Saints,16,286,18,20,16,227,14,4,16,422,26,28,16,107,7,13
Jacksonville Jaguars,16,280,18,20,16,397,25,31,16,319,20,12,16,123,8,21
New York Jets,16,267,17,17,16,250,16,10,16,383,24,23,16,89,6,6
Carolina Panthers,16,265,17,17,16,436,27,32,16,366,23,20,16,99,6,6
Tennessee Titans,16,275,17,17,16,305,19,17,16,351,22,16,16,142,9,28
Seattle Seahawks,16,263,16,13,16,318,20,21,16,349,22,16,16,145,9,28
Philadelphia Eagles,16,260,16,13,16,242,15,6,16,435,27,30,16,90,6,6
Dallas Cowboys,16,257,16,13,16,276,17,12,16,302,19,8,16,138,9,28
Kansas City Chiefs,16,256,16,13,16,354,22,27,16,262,16,2,16,128,8,21
Los Angeles Rams,16,248,16,13,16,304,19,17,16,313,20,12,16,128,8,21
San Francisco 49ers,16,243,15,10,16,207,13,3,16,322,20,12,16,89,6,6
Denver Broncos,16,238,15,10,16,260,16,10,16,312,20,12,16,115,7,13
Minnesota Vikings,16,226,14,7,16,282,18,14,16,379,24,23,16,81,5,2
Los Angeles Chargers,16,221,14,7,16,328,20,21,16,282,18,6,16,103,6,6
Chicago Bears,16,220,14,7,16,305,19,17,16,284,18,6,16,119,7,13
Green Bay Packers,16,212,13,4,16,334,21,24,16,320,20,12,16,119,7,13
Pittsburgh Steelers,16,206,13,4,16,237,15,6,16,293,18,6,16,115,7,13
Buffalo Bills,16,200,12,2,16,280,18,14,16,265,17,3,16,88,6,6
Baltimore Ravens,16,192,12,2,16,244,15,6,16,327,20,12,16,75,5,2
New England Patriots,16,175,11,1,16,175,11,2,16,237,15,1,16,109,7,13
